ID;propiedadesExtras.idcontactoCompraProducto/compra;items[0].uniqueId;items[0].additionalInfo.brandName;items[0].ean;items[0].price;items[0].name;items[0].sellerSku
45;50;1D79CF899E994FAE8EA2094F99B0D70C;Whirlpool;WLF12BW25Y;21999.00;Lavarropas Whirlpool Carga Frontal de 12 kg - Blanco;210
46;51;34028EE3A5DC4D77B2C4AAFD46B808D0;Whirlpool;WAI63ARDWA;9799.00;Campana Extractora Whirlpool - 60 CM - Inoxidable y Vidrio;24
47;42;F8BAD5E8C0C247FD8B754A0333F0A63E;Whirlpool;WOA60ARDNA;11999.00;Horno Empotrable a Gas Whirlpool - 60 CM - Inoxidable;37
48;43;FFD5EF6F0F734C178600C291D4B57F97;Whirlpool;WOB65ARDIM;29999.00;Horno Empotrable Eléctrico Whirlpool - 60 CM / Espejado Horno Empotrable Eléctrico Whirlpool - 60 CM - Inoxidable / Espejado;85
